"id","created_at","name","has_test","alternate_url"
"45378636","2021-06-10T15:18:08+0300","-",false,"https://hh.ru/vacancy/45378636"
"44942169","2021-06-11T12:54:57+0300","Junior",false,"https://hh.ru/vacancy/44942169"
"45303456","2021-06-11T13:40:19+0300","-",false,"https://hh.ru/vacancy/45303456"
"45409422","2021-06-11T15:09:39+0300","Middle",false,"https://hh.ru/vacancy/45409422"
"43505073","2021-06-11T16:10:35+0300","-",false,"https://hh.ru/vacancy/43505073"
"45415640","2021-06-11T18:19:58+0300","Senior/Middle",false,"https://hh.ru/vacancy/45415640"
"45415702","2021-06-11T18:26:07+0300","Senior/Middle",false,"https://hh.ru/vacancy/45415702"
"44350010","2021-06-12T10:06:40+0300","-",false,"https://hh.ru/vacancy/44350010"
"44861536","2021-06-12T10:59:49+0300","Senior",false,"https://hh.ru/vacancy/44861536"
"45062052","2021-06-12T11:25:46+0300","-",false,"https://hh.ru/vacancy/45062052"
"45079276","2021-06-12T15:36:16+0300","-",false,"https://hh.ru/vacancy/45079276"
"45191074","2021-06-12T15:50:44+0300","-",false,"https://hh.ru/vacancy/45191074"
"45349239","2021-06-12T16:34:59+0300","-",false,"https://hh.ru/vacancy/45349239"
"44991118","2021-06-12T16:51:32+0300","-",false,"https://hh.ru/vacancy/44991118"
"45196738","2021-06-12T18:37:27+0300","-",false,"https://hh.ru/vacancy/45196738"
"44994492","2021-06-12T18:51:07+0300","Junior",false,"https://hh.ru/vacancy/44994492"
"45368081","2021-06-13T11:29:29+0300","-",false,"https://hh.ru/vacancy/45368081"
"45423115","2021-06-13T12:15:07+0300","-",false,"https://hh.ru/vacancy/45423115"
"45287557","2021-06-14T09:03:17+0300","-",false,"https://hh.ru/vacancy/45287557"
"45427494","2021-06-14T09:37:24+0300","Senior",false,"https://hh.ru/vacancy/45427494"
